algoritmo,n,t,d,m,tiempo_us,memoria_kb
strassen,16,diagonal,D0,c,24,2568
naive,16,diagonal,D10,a,29,2568
strassen,16,diagonal,D10,a,33,2568
naive,16,diagonal,D10,b,6,2568
strassen,16,diagonal,D10,b,24,2568
naive,16,diagonal,D10,c,8,2568
strassen,16,diagonal,D10,c,23,2568
naive,16,dispersa,D0,a,6,2568
strassen,16,dispersa,D0,a,16,2568
naive,16,dispersa,D0,b,6,2568
strassen,16,dispersa,D0,b,23,2568
naive,16,dispersa,D0,c,11,2568
strassen,16,dispersa,D0,c,25,2568
naive,16,dispersa,D10,a,9,2568
strassen,16,dispersa,D10,a,19,2568
naive,16,dispersa,D10,b,8,2568
strassen,16,dispersa,D10,b,22,2568
naive,16,dispersa,D10,c,6,2568
strassen,16,dispersa,D10,c,26,2568
naive,256,densa,D0,a,9294,4212
strassen,256,densa,D0,a,29158,5792
naive,256,densa,D0,b,8425,4320
strassen,256,densa,D0,b,28417,5900
naive,256,densa,D0,c,8449,4176
strassen,256,densa,D0,c,29339,5756
naive,256,densa,D10,a,10417,4308
strassen,256,densa,D10,a,25976,5888
naive,256,densa,D10,b,7971,4164
strassen,256,densa,D10,b,28336,5744
naive,256,densa,D10,c,8658,4208
strassen,256,densa,D10,c,28020,5788
naive,256,diagonal,D0,a,6093,4208
strassen,256,diagonal,D0,a,33203,5788
naive,256,diagonal,D0,b,8061,4304
strassen,256,diagonal,D0,b,25721,5884
naive,256,diagonal,D0,c,8517,4164
strassen,256,diagonal,D0,c,29132,5744
naive,256,diagonal,D10,a,9251,4184
strassen,256,diagonal,D10,a,33248,5764
naive,256,diagonal,D10,b,8279,4212
strassen,256,diagonal,D10,b,28503,5792
naive,256,diagonal,D10,c,7549,4316
strassen,256,diagonal,D10,c,25720,5896
naive,256,dispersa,D0,a,9061,4292
strassen,256,dispersa,D0,a,27539,5872
naive,256,dispersa,D0,b,7878,4240
strassen,256,dispersa,D0,b,24144,5880
naive,256,dispersa,D0,c,9001,4432
strassen,256,dispersa,D0,c,18968,6012
naive,256,dispersa,D10,a,8787,4208
strassen,256,dispersa,D10,a,28200,5788
naive,256,dispersa,D10,b,8317,4348
strassen,256,dispersa,D10,b,26995,5928
naive,256,dispersa,D10,c,7303,4292
strassen,256,dispersa,D10,c,28248,5872
naive,64,densa,D0,a,211,2568
strassen,64,densa,D0,a,269,3712
naive,64,densa,D0,b,173,2568
strassen,64,densa,D0,b,395,3720
naive,64,densa,D0,c,111,2568
strassen,64,densa,D0,c,572,3724
naive,64,densa,D10,a,201,2568
strassen,64,densa,D10,a,490,3768
naive,64,densa,D10,b,211,2568
strassen,64,densa,D10,b,483,3576
naive,64,densa,D10,c,105,2568
strassen,64,densa,D10,c,724,3716
naive,64,diagonal,D0,a,91,2568
strassen,64,diagonal,D0,a,404,3860
naive,64,diagonal,D0,b,218,2568
strassen,64,diagonal,D0,b,641,3720
naive,64,diagonal,D0,c,157,2568
strassen,64,diagonal,D0,c,511,3860
naive,64,diagonal,D10,a,172,2568
strassen,64,diagonal,D10,a,370,3632
naive,64,diagonal,D10,b,176,2568
strassen,64,diagonal,D10,b,619,3576
naive,64,diagonal,D10,c,161,2568
strassen,64,diagonal,D10,c,416,3712
naive,64,dispersa,D0,a,159,2568
strassen,64,dispersa,D0,a,533,3604
naive,64,dispersa,D0,b,146,2568
strassen,64,dispersa,D0,b,417,3592
naive,64,dispersa,D0,c,152,2568
strassen,64,dispersa,D0,c,342,3856
naive,64,dispersa,D10,a,89,2568
strassen,64,dispersa,D10,a,438,3608
naive,64,dispersa,D10,b,216,2568
strassen,64,dispersa,D10,b,526,3712
naive,64,dispersa,D10,c,90,2568
strassen,64,dispersa,D10,c,515,3700
naive,1024,densa,D0,a,245793,15844
strassen,1024,densa,D0,a,401181,35976
naive,1024,densa,D0,b,230906,15716
strassen,1024,densa,D0,b,417201,35776
naive,1024,densa,D0,c,236353,15884
strassen,1024,densa,D0,c,406351,35892
naive,1024,densa,D10,a,232740,16004
strassen,1024,densa,D10,a,412458,35772
naive,1024,densa,D10,b,233388,15768
strassen,1024,densa,D10,b,414127,35832
naive,1024,densa,D10,c,212966,15796
strassen,1024,densa,D10,c,395591,35996
naive,1024,diagonal,D0,a,217351,15724
strassen,1024,diagonal,D0,a,445603,35800
naive,1024,diagonal,D0,b,240753,15744
strassen,1024,diagonal,D0,b,421249,35816
naive,1024,diagonal,D0,c,213133,15792
strassen,1024,diagonal,D0,c,431983,36068
naive,1024,diagonal,D10,a,225483,15932
strassen,1024,diagonal,D10,a,409077,35944
naive,1024,diagonal,D10,b,226442,15752
strassen,1024,diagonal,D10,b,408483,35784
naive,1024,diagonal,D10,c,225256,15744
strassen,1024,diagonal,D10,c,427621,35828
naive,1024,dispersa,D0,a,220023,15752
strassen,1024,dispersa,D0,a,407931,35852
naive,1024,dispersa,D0,b,-2231132,15936
strassen,1024,dispersa,D0,b,480913,35896
naive,1024,dispersa,D0,c,263536,15752
strassen,1024,dispersa,D0,c,416071,35852
naive,1024,dispersa,D10,a,223676,15820
strassen,1024,dispersa,D10,a,415915,35812
naive,1024,dispersa,D10,b,211573,15756
strassen,1024,dispersa,D10,b,437823,35976
naive,1024,dispersa,D10,c,227501,15756
strassen,1024,dispersa,D10,c,409322,35780
naive,16,densa,D0,a,4,2476
strassen,16,densa,D0,a,11,2476
naive,16,densa,D0,b,4,2476
strassen,16,densa,D0,b,19,2476
naive,16,densa,D0,c,3,2476
strassen,16,densa,D0,c,9,2476
naive,16,densa,D10,a,5,2476
strassen,16,densa,D10,a,10,2476
naive,16,densa,D10,b,5,2476
strassen,16,densa,D10,b,15,2476
naive,16,densa,D10,c,5,2476
strassen,16,densa,D10,c,11,2476
naive,16,diagonal,D0,a,4,2476
strassen,16,diagonal,D0,a,10,2476
naive,16,diagonal,D0,b,4,2476
strassen,16,diagonal,D0,b,12,2476
naive,16,diagonal,D0,c,3,2476
strassen,16,diagonal,D0,c,11,2476
naive,16,diagonal,D10,a,5,2476
strassen,16,diagonal,D10,a,10,2476
naive,16,diagonal,D10,b,4,2476
strassen,16,diagonal,D10,b,15,2476
naive,16,diagonal,D10,c,6,2476
strassen,16,diagonal,D10,c,12,2476
naive,16,dispersa,D0,a,3,2476
strassen,16,dispersa,D0,a,9,2476
naive,16,dispersa,D0,b,5,2476
